segmento,n_total,n_util,avg_pred,win_rate_real,inflacion_pp,brier,ece_aprox,precision_at_060,cobertura_at_060,precision_at_070,cobertura_at_070,precision_at_075,cobertura_at_075,precision_at_080,cobertura_at_080
first_20,4930,77,0.6243636363636362,0.45454545454545453,16.98181818181817,0.27603615584415586,0.1698181818181817,0.45454545454545453,1.0,,0.0,,0.0,,0.0
mid_20,4930,123,0.6298861788617888,0.44715447154471544,18.27317073170733,0.27682568563685644,0.18744715447154492,0.44715447154471544,1.0,1.0,0.008130081300813009,,0.0,,0.0
last_20,4930,128,0.6263906250000001,0.46875,15.764062500000009,0.27532028124999997,0.15764062500000015,0.46875,1.0,0.5,0.046875,,0.0,,0.0
first_half,12325,255,0.6265960784313724,0.5176470588235295,10.894901960784297,0.2592561908496732,0.10894901960784317,0.5176470588235295,1.0,0.3333333333333333,0.011764705882352941,,0.0,,0.0
second_half,12325,288,0.6255208333333333,0.4791666666666667,14.635416666666663,0.27019134722222227,0.14635416666666676,0.4791666666666667,1.0,0.625,0.027777777777777776,,0.0,,0.0
win_01,2465,35,0.6309142857142858,0.4,23.091428571428573,0.29474754285714283,0.23091428571428574,0.4,1.0,,0.0,,0.0,,0.0
win_02,2465,42,0.618904761904762,0.5,11.890476190476196,0.26044333333333336,0.11890476190476196,0.5,1.0,,0.0,,0.0,,0.0
win_03,2465,35,0.6258857142857143,0.5714285714285714,5.445714285714287,0.24887599999999996,0.0544571428571428,0.5714285714285714,1.0,0.5,0.05714285714285714,,0.0,,0.0
win_04,2465,73,0.6240821917808219,0.547945205479452,7.613698630136989,0.24817119634703194,0.07613698630136978,0.547945205479452,1.0,0.0,0.0136986301369863,,0.0,,0.0
win_05,2465,70,0.6320285714285713,0.5285714285714286,10.34571428571427,0.25754839047619044,0.10345714285714269,0.5285714285714286,1.0,,0.0,,0.0,,0.0
win_06,2465,53,0.627056603773585,0.33962264150943394,28.7433962264151,0.30228626415094345,0.29837735849056607,0.33962264150943394,1.0,1.0,0.018867924528301886,,0.0,,0.0
win_07,2465,52,0.6212307692307693,0.5384615384615384,8.276923076923081,0.25178138461538463,0.08276923076923082,0.5384615384615384,1.0,,0.0,,0.0,,0.0
win_08,2465,55,0.6260727272727272,0.5818181818181818,4.425454545454544,0.2447328727272727,0.05479999999999996,0.5818181818181818,1.0,1.0,0.01818181818181818,,0.0,,0.0
win_09,2465,61,0.6342295081967212,0.47540983606557374,15.881967213114745,0.27558334426229514,0.15881967213114773,0.47540983606557374,1.0,0.5,0.09836065573770492,,0.0,,0.0
win_10,2465,67,0.6192537313432834,0.4626865671641791,15.656716417910433,0.27508077611940307,0.15656716417910432,0.4626865671641791,1.0,,0.0,,0.0,,0.0
